Thread Average_latency Std_dev_latency Average_throughput Std_dev_throughput Average_exec_time Std_dev_exec_time
0 12.594800000000001 0.04502177251064218 79.383115 0.2850254870049357 0.2015568 0.0007250912770127651
1 35.0706 0.24044176010002952 81.6608776 0.5307899004768629 0.1959406 0.0012837500691333982
2 27.623199999999997 0.09156069025515236 161.02401079999999 0.9026076313414126 0.0993672 0.0005595731944973804
3 25.3944 0.2730323057808365 217.0498346 3.1898386295392176 0.07373199999999999 0.0011030417943124365
