Thread Average_latency Std_dev_latency Average_throughput Std_dev_throughput Average_exec_time Std_dev_exec_time
0 48.039 0.436587219235745 20.816379599999998 0.1892970988521485 0.9128182 0.008293998659271641
1 141.2076 0.7394615879138033 20.3669244 0.10783176849630137 0.9329112 0.004929521575163263
2 115.84819999999999 0.8028452902022918 39.1205168 0.26197785815553115 0.4857004 0.003246848662934575
3 106.7112 0.4037099949220992 56.222257 0.26645818618537526 0.33795200000000003 0.0015920438436173722
