Thread Average_latency Std_dev_latency Average_throughput Std_dev_throughput Average_exec_time Std_dev_exec_time
0 12.594800000000001 0.04502177251064218 79.383115 0.2850254870049357 0.2015568 0.0007250912770127651
1 12.5646 0.03553364602739212 79.5173262 0.2234501861528892 0.2012156 0.0005660729988261286
2 12.628400000000001 0.05924390263985003 157.25919140000002 0.9493980663739797 0.10174660000000002 0.0006193698733390236
3 12.7242 0.05808063360535964 211.768649 1.1000974431334745 0.0755562 0.00039487435976523196
