Thread Average_latency Std_dev_latency Average_throughput Std_dev_throughput Average_exec_time Std_dev_exec_time
0 61.8104 1.0137614315015135 16.180460800000002 0.26216403103049873 5.563742400000001 0.09123512530073052
1 161.97140000000002 2.5389169817069663 18.5392176 0.29127591590284285 4.8557932 0.07761613393979361
2 134.1676 1.1133570137202125 36.8792186 0.3528636858463062 2.4406218 0.02330871101026387
3 125.2692 1.6249487868852985 55.09409959999999 0.7494717546268458 1.6338696000000001 0.0221165049824786
