Thread Average_latency Std_dev_latency Average_throughput Std_dev_throughput Average_exec_time Std_dev_exec_time
0 312.944 7.714953868948287 3.1969000000000003 0.07600050650620699 3.1298642 0.07714678694125889
1 802.2994000000001 5.310375489548721 3.2678491999999997 0.01924374354848876 3.0602226000000003 0.01796422800567833
2 624.1378 1.69199224584511 6.2200258 0.005382674108656246 1.6077116 0.0013916083644474127
3 561.6402 1.7716425598861498 8.222465000000001 0.06829550262499025 1.2162631999999998 0.009981955347525818
